date,cases,total_tests,County,pos_rate
2020-05-08,9.0,397.0,Stanislaus,0.022670025188916875
2020-05-09,14.0,116.0,Stanislaus,0.1206896551724138
2020-05-10,8.0,117.0,Stanislaus,0.06837606837606838
2020-05-11,7.0,376.0,Stanislaus,0.018617021276595744
2020-05-12,10.0,339.0,Stanislaus,0.029498525073746312
2020-05-13,7.0,301.0,Stanislaus,0.023255813953488372
2020-05-14,9.0,334.0,Stanislaus,0.02694610778443114
2020-05-15,19.0,358.0,Stanislaus,0.05307262569832402
2020-05-16,7.0,137.0,Stanislaus,0.051094890510948905
2020-05-17,9.0,117.0,Stanislaus,0.07692307692307693
2020-05-18,11.0,397.0,Stanislaus,0.027707808564231738
2020-05-19,12.0,461.0,Stanislaus,0.026030368763557483
2020-05-20,14.0,438.0,Stanislaus,0.0319634703196347
2020-05-21,16.0,502.0,Stanislaus,0.03187250996015936
2020-05-22,12.0,456.0,Stanislaus,0.02631578947368421
2020-05-23,10.0,161.0,Stanislaus,0.062111801242236024
2020-05-24,8.0,129.0,Stanislaus,0.06201550387596899
2020-05-25,20.0,136.0,Stanislaus,0.14705882352941177
2020-05-26,30.0,553.0,Stanislaus,0.054249547920433995
2020-05-27,20.0,498.0,Stanislaus,0.040160642570281124
2020-05-28,25.0,441.0,Stanislaus,0.05668934240362812
2020-05-29,41.0,603.0,Stanislaus,0.06799336650082918
2020-05-30,30.0,231.0,Stanislaus,0.12987012987012986
2020-05-31,17.0,209.0,Stanislaus,0.08133971291866028
2020-06-01,54.0,772.0,Stanislaus,0.06994818652849741
2020-06-02,37.0,662.0,Stanislaus,0.055891238670694864
2020-06-03,59.0,580.0,Stanislaus,0.10172413793103448
2020-06-04,40.0,560.0,Stanislaus,0.07142857142857142
2020-06-05,76.0,642.0,Stanislaus,0.11838006230529595
2020-06-06,33.0,249.0,Stanislaus,0.13253012048192772
2020-06-07,34.0,177.0,Stanislaus,0.192090395480226
2020-06-08,80.0,1020.0,Stanislaus,0.0784313725490196
2020-06-09,83.0,958.0,Stanislaus,0.08663883089770355
2020-06-10,101.0,1019.0,Stanislaus,0.09911678115799803
2020-06-11,90.0,864.0,Stanislaus,0.10416666666666667
2020-06-12,91.0,941.0,Stanislaus,0.09670563230605739
2020-06-13,59.0,283.0,Stanislaus,0.20848056537102475
2020-06-14,57.0,232.0,Stanislaus,0.24568965517241378
2020-06-15,149.0,1094.0,Stanislaus,0.13619744058500913
2020-06-16,117.0,1159.0,Stanislaus,0.10094909404659189
2020-06-17,154.0,1542.0,Stanislaus,0.09987029831387809
2020-06-18,124.0,1056.0,Stanislaus,0.11742424242424243
2020-06-19,133.0,1071.0,Stanislaus,0.12418300653594772
2020-06-20,110.0,527.0,Stanislaus,0.20872865275142316
2020-06-21,108.0,284.0,Stanislaus,0.38028169014084506
2020-06-22,186.0,1251.0,Stanislaus,0.1486810551558753
2020-06-23,185.0,1518.0,Stanislaus,0.12187088274044795
2020-06-24,177.0,2005.0,Stanislaus,0.0882793017456359
2020-06-25,179.0,1532.0,Stanislaus,0.11684073107049608
2020-06-26,212.0,1566.0,Stanislaus,0.13537675606641125
2020-06-27,113.0,608.0,Stanislaus,0.18585526315789475
2020-06-28,100.0,576.0,Stanislaus,0.1736111111111111
2020-06-29,206.0,1771.0,Stanislaus,0.1163184641445511
2020-06-30,206.0,1856.0,Stanislaus,0.11099137931034483
2020-07-01,297.0,1992.0,Stanislaus,0.14909638554216867
2020-07-02,278.0,1931.0,Stanislaus,0.14396685655100985
2020-07-03,172.0,1019.0,Stanislaus,0.16879293424926398
2020-07-04,124.0,483.0,Stanislaus,0.2567287784679089
2020-07-05,158.0,818.0,Stanislaus,0.19315403422982885
2020-07-06,330.0,2382.0,Stanislaus,0.1385390428211587
2020-07-07,402.0,2625.0,Stanislaus,0.15314285714285714
2020-07-08,338.0,2153.0,Stanislaus,0.15699024616813748
2020-07-09,300.0,1829.0,Stanislaus,0.16402405686167304
2020-07-10,315.0,1841.0,Stanislaus,0.17110266159695817
2020-07-11,170.0,954.0,Stanislaus,0.17819706498951782
2020-07-12,140.0,795.0,Stanislaus,0.1761006289308176
2020-07-13,304.0,2471.0,Stanislaus,0.12302711452853096
2020-07-14,303.0,2413.0,Stanislaus,0.1255698300870286
2020-07-15,375.0,2627.0,Stanislaus,0.1427483821850019
2020-07-16,297.0,2134.0,Stanislaus,0.13917525773195877
2020-07-17,283.0,1864.0,Stanislaus,0.15182403433476394
2020-07-18,174.0,850.0,Stanislaus,0.20470588235294118
2020-07-19,135.0,904.0,Stanislaus,0.14933628318584072
2020-07-20,296.0,2304.0,Stanislaus,0.1284722222222222
2020-07-21,284.0,2003.0,Stanislaus,0.1417873190214678
2020-07-22,262.0,1596.0,Stanislaus,0.16416040100250626
2020-07-23,171.0,1394.0,Stanislaus,0.12266857962697274
2020-07-24,242.0,1339.0,Stanislaus,0.18073188946975355
2020-07-25,172.0,645.0,Stanislaus,0.26666666666666666
2020-07-26,103.0,460.0,Stanislaus,0.22391304347826088
2020-07-27,263.0,2223.0,Stanislaus,0.11830859199280253
2020-07-28,225.0,2225.0,Stanislaus,0.10112359550561797
2020-07-29,222.0,1788.0,Stanislaus,0.12416107382550336
2020-07-30,221.0,1771.0,Stanislaus,0.12478825522303783
2020-07-31,213.0,1596.0,Stanislaus,0.13345864661654136
2020-08-01,106.0,634.0,Stanislaus,0.167192429022082
2020-08-02,118.0,422.0,Stanislaus,0.2796208530805687
2020-08-03,215.0,1907.0,Stanislaus,0.11274252753015207
2020-08-04,209.0,1689.0,Stanislaus,0.12374185908821789
2020-08-05,169.0,1467.0,Stanislaus,0.11520109066121335
2020-08-06,159.0,1525.0,Stanislaus,0.10426229508196722
2020-08-07,150.0,1347.0,Stanislaus,0.111358574610245
2020-08-08,122.0,453.0,Stanislaus,0.2693156732891832
2020-08-09,75.0,291.0,Stanislaus,0.25773195876288657
2020-08-10,208.0,1576.0,Stanislaus,0.1319796954314721
2020-08-11,183.0,1813.0,Stanislaus,0.10093767236624379
2020-08-12,104.0,1677.0,Stanislaus,0.06201550387596899
2020-08-13,140.0,1360.0,Stanislaus,0.10294117647058823
2020-08-14,129.0,1365.0,Stanislaus,0.0945054945054945
2020-08-15,78.0,544.0,Stanislaus,0.14338235294117646
