SampleDate,N1_Concentration_Merged,N2_Concentration_Merged,N/PMMoV,PV_Concentration_Merged,City,positives,Testing,pos_rate,NormalizedConc_crude,NormalizedConc,positives_crude,NormalizedConc_wo,NormalizedConc_wo_int,Type,N_gene,S_gene,BCoV Recovery,BA.2,NormalizedBA.2
2021-09-09,42.1538782,52.6931238,0.00010133333333333333,520000.0,Davis,15.0,1968.0,0.007621951219512195,0.00010133333333333333,0.00010133333333333333,15.0,0.00010133333333333333,0.00010133333333333333,influent,,,,,
2021-09-10,10.5233478,10.5233478,0.0,529000.0,Davis,3.0,2261.0,0.0013268465280849183,0.0,0.0,3.0,0.0,0.0,influent,,,,,
2021-09-11,40.6207085,60.9328174,0.00016166666666666665,377000.0,Davis,5.0,1570.0,0.0031847133757961785,0.00016166666666666665,0.00016166666666666665,5.0,0.00016166666666666665,0.00016166666666666665,influent,,,,,
2021-09-12,10.0439191,0.0,0.0,124000.0,Davis,4.0,800.0,0.005,0.0,0.0,4.0,0.0,0.0,influent,,,,,
2021-09-13,51.5007686,30.8995843,0.0,284000.0,Davis,5.0,1125.0,0.0044444444444444444,0.0,0.0,5.0,0.0,0.0,influent,,,,,
2021-09-14,10.292629,10.292629,0.0,349000.0,Davis,9.0,1701.0,0.005291005291005291,0.0,0.0,9.0,0.0,0.0,influent,,,,,
2021-09-15,40.3854322,10.0959432,0.0,228000.0,Davis,8.0,2033.0,0.003935071323167732,0.0,0.0,8.0,0.0,0.0,influent,,,,,
2021-09-16,,,,,Davis,3.0,1580.0,0.0018987341772151898,,0.0,3.0,,0.0,influent,,,,,
2021-09-17,,,,,Davis,6.0,1762.0,0.00340522133938706,,0.0,6.0,,0.0,influent,,,,,
2021-09-18,,,,,Davis,6.0,1839.0,0.0032626427406199023,,0.0,6.0,,0.0,influent,,,,,
2021-09-19,,,,,Davis,8.0,1041.0,0.007684918347742555,,0.0,8.0,,0.0,influent,,,,,
2021-09-20,,,,,Davis,5.0,1087.0,0.004599816007359705,,0.0,5.0,,0.0,influent,,,,,
2021-09-21,,,,,Davis,9.0,1897.0,0.004744333157617291,,0.0,9.0,,0.0,influent,,,,,
2021-09-22,,,,,Davis,7.0,2122.0,0.003298774740810556,,0.0,7.0,,0.0,influent,,,,,
2021-09-23,,,,,Davis,3.0,1254.0,0.0023923444976076554,,0.0,3.0,,0.0,influent,,,,,
2021-09-24,,,,,Davis,14.0,2316.0,0.006044905008635579,,0.0,14.0,,0.0,influent,,,,,
2021-09-25,,,,,Davis,3.0,1422.0,0.002109704641350211,,0.0,3.0,,0.0,influent,,,,,
2021-09-26,,,,,Davis,4.0,845.0,0.004733727810650888,,0.0,4.0,,0.0,influent,,,,,
2021-09-27,,,,,Davis,4.0,1016.0,0.003937007874015748,,0.0,4.0,,0.0,influent,,,,,
2021-09-28,,,,,Davis,8.0,1555.0,0.005144694533762058,,0.0,8.0,,0.0,influent,,,,,
2021-09-29,,,,,Davis,9.0,2312.0,0.0038927335640138406,,0.0,9.0,,0.0,influent,,,,,
2021-09-30,,,,,Davis,0.0,1123.0,0.0,,0.0,0.0,,0.0,influent,,,,,
2021-10-01,,,,,Davis,11.0,2506.0,0.004389465283320032,,0.0,11.0,,0.0,influent,,,,,
2021-10-02,,,,,Davis,3.0,1385.0,0.0021660649819494585,,0.0,3.0,,0.0,influent,,,,,
2021-10-03,,,,,Davis,7.0,719.0,0.009735744089012517,,0.0,7.0,,0.0,influent,,,,,
2021-10-04,,,,,Davis,6.0,499.0,0.012024048096192385,,0.0,6.0,,0.0,influent,,,,,
2021-10-05,,,,,Davis,7.0,2356.0,0.0029711375212224107,,0.0,7.0,,0.0,influent,,,,,
2021-10-06,,,,,Davis,6.0,2047.0,0.0029311187103077674,,0.0,6.0,,0.0,influent,,,,,
2021-10-07,0.0,0.0,0.0,665000.0,Davis,4.0,1469.0,0.002722940776038121,0.0,0.0,4.0,0.0,0.0,influent,,,,,
2021-10-08,44.5207596,11.1296976,0.0,381000.0,Davis,3.0,1783.0,0.0016825574873808188,0.0,0.0,3.0,0.0,0.0,influent,,,,,
2021-10-09,0.0,0.0,0.0,99000.0,Davis,1.0,1501.0,0.0006662225183211193,0.0,0.0,1.0,0.0,0.0,influent,,,,,
2021-10-10,10.6857813,0.0,0.0,53200.0,Davis,1.0,622.0,0.001607717041800643,0.0,0.0,1.0,0.0,0.0,influent,,,,,
2021-10-11,21.4605832,32.191329,0.0,241000.0,Davis,4.0,930.0,0.004301075268817204,0.0,0.0,4.0,0.0,0.0,influent,,,,,
2021-10-12,21.8981671,21.8981671,0.0,288000.0,Davis,6.0,1409.0,0.0042583392476933995,0.0,0.0,6.0,0.0,0.0,influent,,,,,
2021-10-13,43.5444164,32.6578355,0.0,286000.0,Davis,7.0,2005.0,0.003491271820448878,0.0,0.0,7.0,0.0,0.0,influent,,,,,
